id	genres	title
47	Crime,Thriller	Seven,Se7en,1995
48	Animation,Children's,Musical,Romance	Pocahontas,1995
49	Drama,Romance	When,Night,Is,Falling,1995
50	Crime,Thriller	Usual,Suspects,The,1995
51	Action,Drama,Thriller	Guardian,Angel,1994
52	Comedy	Mighty,Aphrodite,1995
53	Drama	Lamerica,1994
54	Children's,Comedy	Big,Green,The,1995
55	Drama	Georgia,1995
56	Adventure,Children's,Fantasy	Kids,of,the,Round,Table,1995
57	Drama	Home,for,the,Holidays,1995
58	Drama,Romance	Postino,Il,The,Postman,1994
59	Drama,Mystery	Confessional,The,Le,Confessionnal,1995
60	Adventure,Children's,Fantasy	Indian,in,the,Cupboard,The,1995
61	Drama,Thriller	Eye,for,an,Eye,1996
62	Drama	Mr.,Holland's,Opus,1995
63	Comedy	Don't,Be,a,Menace,to,South,Central,While,Drinking,Your,Juice,in,the,Hood,1996
64	Comedy,Romance	Two,if,by,Sea,1996
65	Comedy	Bio-Dome,1996
66	Sci-Fi,Thriller	Lawnmower,Man,2:,Beyond,Cyberspace,1996
67	Drama	Two,Bits,1995
68	Comedy,Romance	French,Twist,Gazon,maudit,1995
69	Comedy	Friday,1995
70	Action,Comedy,Crime,Horror,Thriller	From,Dusk,Till,Dawn,1996
71	Action	Fair,Game,1995
72	Comedy,Drama	Kicking,and,Screaming,1995
73	Drama,Musical	Misérables,Les,1995
74	Drama,Romance	Bed,of,Roses,1996
75	Comedy,Drama	Big,Bully,1996
76	Sci-Fi,Thriller	Screamers,1995
77	Documentary	Nico,Icon,1995
78	Drama	Crossing,Guard,The,1995
79	Drama,Thriller	Juror,The,1996
80	Drama	White,Balloon,The,Badkonake,Sefid,,1995
81	Crime,Drama,Romance	Things,to,Do,in,Denver,when,You're,Dead,1995
82	Drama	Antonia's,Line,Antonia,1995
83	Drama	Once,Upon,a,Time...,When,We,Were,Colored,1995
84	Comedy,Drama	Last,Summer,in,the,Hamptons,1995
85	Drama,Romance	Angels,and,Insects,1995
86	Adventure,Drama	White,Squall,1996
87	Children's,Comedy	Dunston,Checks,In,1996
88	Comedy	Black,Sheep,1996
89	Action,Thriller	Nick,of,Time,1995
90	Drama	Journey,of,August,King,The,1995
92	Drama,Thriller	Mary,Reilly,1996
93	Comedy,Romance	Vampire,in,Brooklyn,1995
94	Drama	Beautiful,Girls,1996
95	Action,Thriller	Broken,Arrow,1996
96	Comedy	In,the,Bleak,Midwinter,1995
97	Drama	Hate,Haine,La,1995
98	Action,Thriller	Shopping,1994
99	Documentary	Heidi,Fleiss:,Hollywood,Madam,1995
100	Drama,Thriller	City,Hall,1996
101	Comedy	Bottle,Rocket,1996
102	Comedy	Mr.,Wrong,1996
103	Thriller	Unforgettable,1996
104	Comedy	Happy,Gilmore,1996
105	Drama,Romance	Bridges,of,Madison,County,The,1995
106	Comedy,Drama	Nobody,Loves,Me,Keiner,liebt,mich,1994
107	Adventure,Children's,Comedy,Musical	Muppet,Treasure,Island,1996
108	Documentary	Catwalk,1995
109	Comedy	Headless,Body,in,Topless,Bar,1995
110	Action,Drama,War	Braveheart,1995
111	Drama,Thriller	Taxi,Driver,1976
112	Action,Adventure,Crime	Rumble,in,the,Bronx,1995
113	Drama,Mystery	Before,and,After,1996
114	Drama	Margaret's,Museum,1995
115	Comedy	Happiness,Is,in,the,Field,1995
116	Documentary	Anne,Frank,Remembered,1995
117	Crime	Young,Poisoner's,Handbook,The,1995
118	Comedy,Romance	If,Lucy,Fell,1996
119	Comedy	Steal,Big,Steal,Little,1995
120	Drama	Race,the,Sun,1996
121	Drama	Boys,of,St.,Vincent,The,1993
122	Comedy,Romance	Boomerang,1992
123	Drama,Mystery,Romance	Chungking,Express,1994
124	Drama	Star,Maker,The,Uomo,delle,stelle,L',1995
125	Comedy	Flirting,With,Disaster,1996
126	Adventure,Children's,Fantasy	NeverEnding,Story,III,The,1994
127	Drama	Silence,of,the,Palace,The,Saimt,el,Qusur,1994
128	Documentary	Jupiter's,Wife,1994
129	Comedy,Romance	Pie,in,the,Sky,1995
130	Drama	Angela,1995
131	Drama,Romance	Frankie,Starlight,1995
132	Thriller	Jade,1995
133	Comedy,Drama	Nueba,Yol,1995
134	Documentary	Sonic,Outlaws,1995
135	Comedy	Down,Periscope,1996
136	Documentary	From,the,Journals,of,Jean,Seberg,1995
137	Documentary	Man,of,the,Year,1995
138	Drama	Neon,Bible,The,1995
139	Action,Drama	Target,1995
140	Drama,Romance	Up,Close,and,Personal,1996
141	Comedy	Birdcage,The,1996
142	Drama	Shadows,Cienie,1988
143	Drama	Gospa,1995
144	Comedy	Brothers,McMullen,The,1995
145	Action	Bad,Boys,1995
146	Adventure,Children's	Amazing,Panda,Adventure,The,1995
147	Drama	Basketball,Diaries,The,1995
148	Drama	Awfully,Big,Adventure,An,1995
149	Crime,Drama,Thriller	Amateur,1994
150	Drama	Apollo,13,1995
151	Drama,Romance,War	Rob,Roy,1995
152	Horror	Addiction,The,1995
153	Action,Adventure,Comedy,Crime	Batman,Forever,1995
154	Drama	Belle,de,jour,1967
155	Drama,War	Beyond,Rangoon,1995
156	Comedy	Blue,in,the,Face,1995
157	Comedy,War	Canadian,Bacon,1994
158	Adventure,Children's	Casper,1995
159	Drama	Clockers,1995
160	Action,Adventure,Mystery,Sci-Fi	Congo,1995
161	Drama,Thriller,War	Crimson,Tide,1995
162	Documentary	Crumb,1994
163	Action,Romance,Thriller	Desperado,1995
164	Crime,Film-Noir,Mystery,Thriller	Devil,in,a,Blue,Dress,1995
165	Action,Thriller	Die,Hard:,With,a,Vengeance,1995
166	Comedy,Drama	Doom,Generation,The,1995
167	Drama	Feast,of,July,1995
168	Action,Adventure,Drama,Romance	First,Knight,1995
169	Adventure,Children's,Drama	Free,Willy,2:,The,Adventure,Home,1995
170	Action,Crime,Thriller	Hackers,1995
171	Comedy	Jeffrey,1995
172	Action,Sci-Fi,Thriller	Johnny,Mnemonic,1995
173	Action,Adventure,Sci-Fi	Judge,Dredd,1995
174	Comedy	Jury,Duty,1995
175	Drama	Kids,1995
176	Comedy	Living,in,Oblivion,1995
177	Horror	Lord,of,Illusions,1995
178	Comedy	Love,&,Human,Remains,1993
179	Drama,Romance	Mad,Love,1995
180	Comedy	Mallrats,1995
181	Action,Children's	Mighty,Morphin,Power,Rangers:,The,Movie,1995
182	Drama,Romance	Moonlight,and,Valentino,1995
183	Thriller	Mute,Witness,1994
184	Drama	Nadja,1994
185	Sci-Fi,Thriller	Net,The,1995
186	Comedy	Nine,Months,1995
187	Comedy	Party,Girl,1995
188	Horror	Prophecy,The,1995
189	Comedy	Reckless,1995
190	Thriller	Safe,1995
191	Drama	Scarlet,Letter,The,1995
192	Documentary	Show,The,1995
193	Drama	Showgirls,1995
194	Drama	Smoke,1995
195	Comedy,Drama,Romance	Something,to,Talk,About,1995
196	Horror,Sci-Fi	Species,1995
197	Drama	Stars,Fell,on,Henrietta,The,1995
198	Action,Crime,Sci-Fi	Strange,Days,1995
199	Drama,Musical	Umbrellas,of,Cherbourg,The,Parapluies,de,Cherbourg,Les,1964
200	Thriller	Tie,That,Binds,The,1995
201	Drama	Three,Wishes,1995
202	Drama,Romance	Total,Eclipse,1995
203	Comedy	To,Wong,Foo,Thanks,for,Everything!,Julie,Newmar,1995
204	Action	Under,Siege,2:,Dark,Territory,1995
205	Comedy,Drama	Unstrung,Heroes,1995
206	Documentary	Unzipped,1995
207	Drama,Romance	Walk,in,the,Clouds,A,1995
208	Action,Adventure	Waterworld,1995
209	Drama	White,Man's,Burden,1995
210	Western	Wild,Bill,1995
211	Drama	Browning,Version,The,1994
212	Comedy	Bushwhacked,1995
213	Drama	Burnt,By,the,Sun,Utomlyonnye,solntsem,1994
214	Drama	Before,the,Rain,Pred,dozhdot,1994
215	Drama,Romance	Before,Sunrise,1995
216	Comedy	Billy,Madison,1995
217	Drama,Thriller	Babysitter,The,1995
218	Comedy,Drama	Boys,on,the,Side,1995
219	Drama	Cure,The,1995
220	Horror	Castle,Freak,1995
222	Drama,Romance	Circle,of,Friends,1995
223	Comedy	Clerks,1994
224	Comedy,Drama,Romance	Don,Juan,DeMarco,1995
225	Drama,Thriller	Disclosure,1994
226	Thriller	Dream,Man,1995
227	Action	Drop,Zone,1994
228	Comedy	Destiny,Turns,on,the,Radio,1995
229	Drama,Thriller	Death,and,the,Maiden,1994
230	Drama,Thriller	Dolores,Claiborne,1994
231	Comedy	Dumb,&,Dumber,1994
232	Comedy,Drama	Eat,Drink,Man,Woman,1994
233	Drama	Exotica,1994
234	Comedy	Exit,to,Eden,1994
235	Comedy,Drama	Ed,Wood,1994
236	Comedy,Romance	French,Kiss,1995
237	Comedy,Romance	Forget,Paris,1995
238	Adventure,Children's	Far,From,Home:,The,Adventures,of,Yellow,Dog,1995
239	Animation,Children's,Comedy,Romance	Goofy,Movie,A,1995
240	Thriller	Hideaway,1995
241	Children's,Drama	Fluke,1995
242	Drama,Musical	Farinelli:,il,castrato,1994
243	Comedy	Gordy,1995
244	Animation,Children's	Gumby:,The,Movie,1995
245	Crime,Drama	Glass,Shield,The,1994
246	Documentary	Hoop,Dreams,1994
247	Drama,Fantasy,Romance,Thriller	Heavenly,Creatures,1994
248	Comedy	Houseguest,1994
249	Drama,Romance	Immortal,Beloved,1994
250	Children's,Comedy	Heavyweights,1994
251	Action	Hunted,The,1995
252	Comedy,Romance	I.Q.,1994
253	Drama,Horror	Interview,with,the,Vampire,1994
254	Drama	Jefferson,in,Paris,1995
255	Comedy	Jerky,Boys,The,1994
256	Comedy,Sci-Fi	Junior,1994
257	Mystery,Thriller	Just,Cause,1995
258	Adventure,Children's,Comedy,Fantasy,Romance	Kid,in,King,Arthur's,Court,A,1995
259	Crime,Drama,Thriller	Kiss,of,Death,1995
260	Action,Adventure,Fantasy,Sci-Fi	Star,Wars:,Episode,IV,-,A,New,Hope,1977
261	Drama	Little,Women,1994
262	Children's,Drama	Little,Princess,A,1995
263	Drama	Ladybird,Ladybird,1994
264	Drama	Enfer,L',1994
265	Drama,Romance	Like,Water,for,Chocolate,Como,agua,para,chocolate,1992
266	Drama,Romance,War,Western	Legends,of,the,Fall,1994
267	Comedy	Major,Payne,1994
268	Drama	Little,Odessa,1994
269	Drama	My,Crazy,Life,Mi,vida,loca,1993
270	Drama,Romance	Love,Affair,1994
271	Drama	Losing,Isaiah,1995
272	Drama	Madness,of,King,George,The,1994
273	Drama,Horror	Mary,Shelley's,Frankenstein,1994
274	Comedy	Man,of,the,House,1995
275	Comedy	Mixed,Nuts,1994
276	Comedy,Romance	Milk,Money,1994
277	Drama	Miracle,on,34th,Street,1994
278	Comedy	Miami,Rhapsody,1995
279	Drama	My,Family,1995
280	Drama,Thriller	Murder,in,the,First,1995
281	Drama	Nobody's,Fool,1994
282	Drama	Nell,1994
283	Crime,Drama	New,Jersey,Drive,1995
284	Action,Crime	New,York,Cop,1996
285	Drama,Horror	Beyond,Bedlam,1993
286	Action,Sci-Fi,Thriller	Nemesis,2:,Nebula,1995
287	Comedy,Romance	Nina,Takes,a,Lover,1994
288	Action,Thriller	Natural,Born,Killers,1994
289	Comedy,Romance	Only,You,1994
290	Crime,Drama	Once,Were,Warriors,1994
291	Thriller	Poison,Ivy,II,1995
292	Action,Drama,Thriller	Outbreak,1995
293	Crime,Drama,Romance,Thriller	Professional,The,a.k.a.,Leon:,The,Professional,1994
294	Comedy,Romance	Perez,Family,The,1995
295	Comedy,Romance	Pyromaniac's,Love,Story,A,1995
296	Crime,Drama	Pulp,Fiction,1994
297	Drama	Panther,1995
298	Comedy	Pushing,Hands,1992
299	Drama	Priest,1994
300	Drama	Quiz,Show,1994
301	Drama,Romance	Picture,Bride,1995
302	Drama,Romance	Queen,Margot,La,Reine,Margot,1994
303	Action,Adventure,Western	Quick,and,the,Dead,The,1995
304	Comedy,Drama	Roommates,1995
305	Comedy	Ready,to,Wear,Pret-A-Porter,1994
306	Drama	Three,Colors:,Red,1994
307	Drama	Three,Colors:,Blue,1993
308	Drama	Three,Colors:,White,1994
309	Drama	Red,Firecracker,Green,Firecracker,1994
310	Comedy	Rent-a-Kid,1995
311	Horror,Thriller	Relative,Fear,1994
312	Comedy	Stuart,Saves,His,Family,1995
313	Animation,Children's	Swan,Princess,The,1994
314	Drama	Secret,of,Roan,Inish,The,1994
315	Action	Specialist,The,1994
316	Action,Adventure,Sci-Fi	Stargate,1994
317	Children's,Comedy,Fantasy	Santa,Clause,The,1994
318	Drama	Shawshank,Redemption,The,1994
319	Thriller	Shallow,Grave,1994
320	Film-Noir,Thriller	Suture,1993
321	Drama	Strawberry,and,Chocolate,Fresa,y,chocolate,1993
322	Comedy,Drama	Swimming,with,Sharks,1995
324	Comedy	Sum,of,Us,The,1994
325	Comedy	National,Lampoon's,Senior,Trip,1995
326	Drama	To,Live,Huozhe,1994
327	Action,Comedy,Musical,Sci-Fi	Tank,Girl,1995
328	Horror	Tales,From,the,Crypt,Presents:,Demon,Knight,1995
329	Action,Adventure,Sci-Fi	Star,Trek:,Generations,1994
330	Comedy,Horror	Tales,from,the,Hood,1995
331	Drama	Tom,&,Viv,1994
332	Horror,Sci-Fi	Village,of,the,Damned,1995
333	Comedy	Tommy,Boy,1995
334	Drama	Vanya,on,42nd,Street,1994
335	Mystery,Thriller	Underneath,The,1995
336	Drama,War	Walking,Dead,The,1995
337	Drama	What's,Eating,Gilbert,Grape,1993
338	Sci-Fi,Thriller	Virtuosity,1995
339	Comedy,Romance	While,You,Were,Sleeping,1995
340	Adventure,Drama	War,The,1994
341	Drama	Double,Happiness,1994
342	Comedy,Romance	Muriel's,Wedding,1994
343	Children's	Baby-Sitters,Club,The,1995
344	Comedy	Ace,Ventura:,Pet,Detective,1994
345	Comedy,Drama	Adventures,of,Priscilla,Queen,of,the,Desert,The,1994
346	Drama,Musical	Backbeat,1993
347	Drama	Bitter,Moon,1992
348	Comedy	Bullets,Over,Broadway,1994
349	Action,Adventure,Thriller	Clear,and,Present,Danger,1994
350	Drama,Mystery,Thriller	Client,The,1994
351	Comedy,Drama,Romance	Corrina,Corrina,1994
352	Comedy	Crooklyn,1994
353	Action,Romance,Thriller	Crow,The,1994
354	Drama	Cobb,1994
355	Children's,Comedy	Flintstones,The,1994
356	Comedy,Romance,War	Forrest,Gump,1994
357	Comedy,Romance	Four,Weddings,and,a,Funeral,1994
358	Drama	Higher,Learning,1995
359	Comedy,Drama,Romance	I,Like,It,Like,That,1994
360	Action,Comedy	I,Love,Trouble,1994
361	Drama,Romance	It,Could,Happen,to,You,1994
362	Adventure,Children's,Romance	Jungle,Book,The,1994
363	Documentary	Wonderful,Horrible,Life,of,Leni,Riefenstahl,The,Die,Macht,der,Bilder,1993
364	Animation,Children's,Musical	Lion,King,The,1994
365	Drama	Little,Buddha,1993
366	Horror	Wes,Craven's,New,Nightmare,1994
367	Comedy,Crime,Fantasy	Mask,The,1994
368	Action,Comedy,Western	Maverick,1994
369	Drama	Mrs.,Parker,and,the,Vicious,Circle,1994
370	Comedy	Naked,Gun,33,1/3:,The,Final,Insult,1994
371	Comedy,Drama	Paper,The,1994
372	Comedy,Drama	Reality,Bites,1994
373	Thriller	Red,Rock,West,1992
374	Children's,Comedy	Richie,Rich,1994
375	Drama	Safe,Passage,1994
376	Action,Thriller	River,Wild,The,1994
377	Action,Romance,Thriller	Speed,1994
378	Comedy,Romance	Speechless,1994
379	Action,Sci-Fi	Timecop,1994
380	Action,Adventure,Comedy,Romance	True,Lies,1994
381	Drama	When,a,Man,Loves,a,Woman,1994
382	Drama,Horror	Wolf,1994
383	Western	Wyatt,Earp,1994
384	Action	Bad,Company,1995
385	Drama	Man,of,No,Importance,A,1994
386	Drama	S.F.W.,1994
387	Action,Comedy	Low,Down,Dirty,Shame,A,1994
388	Drama	Boys,Life,1995
389	Drama,Romance,War	Colonel,Chabert,Le,1994
390	Action,Comedy,Drama	Faster,Pussycat!,Kill!,Kill!,1965
391	Crime,Drama	Jason's,Lyric,1994
392	Adventure,Children's	Secret,Adventures,of,Tom,Thumb,The,1993
393	Action	Street,Fighter,1994
394	Action	Coldblooded,1995
395	Drama	Desert,Winds,1995
396	Drama	Fall,Time,1995
397	Horror	Fear,The,1995
398	Documentary	Frank,and,Ollie,1995
399	Drama	Girl,in,the,Cadillac,1995
400	Drama	Homage,1995
401	Action,Thriller	Mirage,1995
402	Comedy	Open,Season,1996
403	Comedy,Crime,Drama	Two,Crimes,1995
404	Documentary	Brother,Minister:,The,Assassination,of,Malcolm,X,1994
405	Action,Sci-Fi	Highlander,III:,The,Sorcerer,1994
406	Drama	Federal,Hill,1994
407	Horror,Thriller	In,the,Mouth,of,Madness,1995
408	Drama	8,Seconds,1994
409	Drama	Above,the,Rim,1994
410	Comedy	Addams,Family,Values,1993
411	Comedy	You,So,Crazy,1994
412	Drama	Age,of,Innocence,The,1993
413	Comedy	Airheads,1994
414	Comedy	Air,Up,There,The,1994
415	Comedy,Thriller	Another,Stakeout,1993
416	Western	Bad,Girls,1994
417	Comedy,Romance	Barcelona,1994
418	Drama	Being,Human,1993
419	Comedy	Beverly,Hillbillies,The,1993
420	Action,Comedy	Beverly,Hills,Cop,III,1994
421	Adventure,Children's	Black,Beauty,1994
422	Thriller	Blink,1994
423	Action,Thriller	Blown,Away,1994
424	Drama	Blue,Chips,1994
425	Drama,Romance	Blue,Sky,1994
426	Horror,Sci-Fi,Thriller	Body,Snatchers,1993
427	Mystery,Romance,Thriller	Boxing,Helena,1993
428	Drama	Bronx,Tale,A,1993
429	Comedy	Cabin,Boy,1994
430	Drama	Calendar,Girl,1993
431	Crime,Drama	Carlito's,Way,1993
432	Comedy,Western	City,Slickers,II:,The,Legend,of,Curly's,Gold,1994
433	Comedy	Clean,Slate,1994
434	Action,Adventure,Crime	Cliffhanger,1993
435	Comedy,Sci-Fi	Coneheads,1993
436	Drama,Thriller	Color,of,Night,1994
437	Comedy	Cops,and,Robbersons,1994
438	Action,Comedy	Cowboy,Way,The,1994
439	Drama	Dangerous,Game,1993
440	Comedy,Romance	Dave,1993
441	Comedy	Dazed,and,Confused,1993
442	Action,Sci-Fi	Demolition,Man,1993
443	Documentary	Endless,Summer,2,The,1994
444	Comedy,Romance	Even,Cowgirls,Get,the,Blues,1993
445	Comedy	Fatal,Instinct,1993
446	Drama,Romance	Farewell,My,Concubine,1993
447	Comedy,Romance	Favor,The,1994
448	Drama	Fearless,1993
449	Comedy	Fear,of,a,Black,Hat,1993
450	Comedy,Drama	With,Honors,1994
451	Drama,Mystery,Romance	Flesh,and,Bone,1993
452	Drama	Widows',Peak,1994
453	Comedy	For,Love,or,Money,1993
454	Drama,Thriller	Firm,The,1993
455	Adventure,Children's,Drama	Free,Willy,1993
456	Drama	Fresh,1994
457	Action,Thriller	Fugitive,The,1993
458	Drama,Western	Geronimo:,An,American,Legend,1993
459	Action	Getaway,The,1994
460	Comedy	Getting,Even,with,Dad,1994
461	Drama,Romance	Go,Fish,1994
462	Action,Adventure	Good,Man,in,Africa,A,1994
463	Crime,Drama,Thriller	Guilty,as,Sin,1993
464	Action,Adventure,Crime,Thriller	Hard,Target,1993
465	Action,Drama,War	Heaven,&,Earth,1993
466	Action,Comedy,War	Hot,Shots!,Part,Deux,1993
467	Comedy	Live,Nude,Girls,1995
468	Comedy,Romance	Englishman,Who,Went,Up,a,Hill,But,Came,Down,a,Mountain,The,1995
469	Drama,Romance	House,of,the,Spirits,The,1993
470	Comedy	House,Party,3,1994
471	Comedy,Romance	Hudsucker,Proxy,The,1994
472	Comedy,Drama	I'll,Do,Anything,1994
473	Comedy,War	In,the,Army,Now,1994
474	Action,Thriller	In,the,Line,of,Fire,1993
475	Drama	In,the,Name,of,the,Father,1993
476	Comedy,Drama	Inkwell,The,1994
477	Drama	What's,Love,Got,to,Do,with,It?,1993
478	Comedy	Jimmy,Hollywood,1994
479	Action	Judgment,Night,1993
480	Action,Adventure,Sci-Fi	Jurassic,Park,1993
481	Drama,Thriller	Kalifornia,1993
482	Thriller	Killing,Zoe,1994
483	Drama	King,of,the,Hill,1993
484	Adventure,Children's	Lassie,1994
485	Action,Comedy	Last,Action,Hero,1993
486	Comedy	Life,with,Mikey,1993
487	Comedy,Western	Lightning,Jack,1994
488	Drama	M.,Butterfly,1993
489	Comedy	Made,in,America,1993
490	Thriller	Malice,1993
491	Drama	Man,Without,a,Face,The,1993
492	Comedy,Mystery	Manhattan,Murder,Mystery,1993
493	Action,Crime,Drama	Menace,II,Society,1993
494	Action,Thriller	Executive,Decision,1996
495	Drama	In,the,Realm,of,the,Senses,Ai,no,corrida,1976
496	Comedy,Drama,Romance	What,Happened,Was...,1994
497	Comedy,Romance	Much,Ado,About,Nothing,1993
498	Drama,Romance	Mr.,Jones,1993
499	Comedy,Romance	Mr.,Wonderful,1993
500	Comedy	Mrs.,Doubtfire,1993
501	Drama	Naked,1993
502	Action,Children's	Next,Karate,Kid,The,1994
503	Drama	New,Age,The,1994
504	Action,Sci-Fi	No,Escape,1994
505	Comedy	North,1994
506	Drama	Orlando,1993
507	Action,Drama	Perfect,World,A,1993
508	Drama	Philadelphia,1993
509	Drama,Romance	Piano,The,1993
510	Drama	Poetic,Justice,1993
511	Action,Drama	Program,The,1993
512	Horror,Sci-Fi	Robert,A.,Heinlein's,The,Puppet,Masters,1994
513	Comedy,Mystery,Romance	Radioland,Murders,1994
514	Comedy	Ref,The,1994
515	Drama	Remains,of,the,Day,The,1993
516	Comedy,Drama,War	Renaissance,Man,1994
517	Action,Drama,Mystery	Rising,Sun,1993
518	Comedy	Road,to,Wellville,The,1994
519	Sci-Fi,Thriller	Robocop,3,1993
520	Comedy	Robin,Hood:,Men,in,Tights,1993
521	Crime,Thriller	Romeo,Is,Bleeding,1993
522	Action,Drama	Romper,Stomper,1992
523	Drama	Ruby,in,Paradise,1993
524	Drama	Rudy,1993
525	Drama	Saint,of,Fort,Washington,The,1993
526	Drama	Savage,Nights,Nuits,fauves,Les,1992
527	Drama,War	Schindler's,List,1993
528	Drama	Scout,The,1994
529	Drama	Searching,for,Bobby,Fischer,1993
530	Drama	Second,Best,1994
531	Children's,Drama	Secret,Garden,The,1993
532	Comedy,Crime,Horror	Serial,Mom,1994
533	Action	Shadow,The,1994
534	Drama,Romance	Shadowlands,1993
535	Drama	Short,Cuts,1993
536	Drama	Simple,Twist,of,Fate,A,1994
537	Comedy,Drama	Sirens,1994
538	Drama	Six,Degrees,of,Separation,1993
539	Comedy,Romance	Sleepless,in,Seattle,1993
540	Thriller	Sliver,1993
541	Film-Noir,Sci-Fi	Blade,Runner,1982
542	Comedy	Son,in,Law,1993
543	Comedy,Romance,Thriller	So,I,Married,an,Axe,Murderer,1993
544	Action	Striking,Distance,1993
545	Drama	Harlem,1993
546	Action,Adventure,Children's,Sci-Fi	Super,Mario,Bros.,1993
547	Action,Adventure,Thriller	Surviving,the,Game,1994
548	Action	Terminal,Velocity,1994
549	Documentary	Thirty-Two,Short,Films,About,Glenn,Gould,1993
550	Comedy,Romance	Threesome,1994
551	Children's,Comedy,Musical	Nightmare,Before,Christmas,The,1993
552	Action,Adventure,Comedy	Three,Musketeers,The,1993
553	Western	Tombstone,1993
554	Thriller	Trial,by,Jury,1994
555	Action,Crime,Romance	True,Romance,1993
556	Documentary	War,Room,The,1993
557	Drama	Mamma,Roma,1962
558	Action,Adventure,Animation,Children's,Fantasy	Pagemaster,The,1994
559	Comedy	Paris,France,1993
560	Drama	Beans,of,Egypt,Maine,The,1994
561	Thriller	Killer,Bulletproof,Heart,1994
562	Comedy,Drama	Welcome,to,the,Dollhouse,1995
563	Drama	Germinal,1993
564	Comedy	Chasers,1994
565	Horror	Cronos,1992
566	Comedy,Romance	Naked,in,New,York,1994
567	Drama	Kika,1993
568	Comedy,Drama	Bhaji,on,the,Beach,1993
569	Children's,Comedy	Little,Big,League,1994
570	Comedy,Drama	Slingshot,The,Kådisbellan,,1993
571	Drama	Wedding,Gift,The,1994
572	Drama	Foreign,Student,1994
573	Drama	Ciao,Professore!,Io,speriamo,che,me,la,cavo,,1993
574	Comedy,Drama	Spanking,the,Monkey,1994
575	Children's,Comedy	Little,Rascals,The,1994
576	Comedy	Fausto,1993
577	Adventure,Children's	Andre,1994
578	Drama,Mystery	Hour,of,the,Pig,The,1993
579	Thriller	Scorta,La,1993
580	Drama	Princess,Caraboo,1994
581	Documentary	Celluloid,Closet,The,1995
582	Comedy	Metisse,Café,au,Lait,1993
583	Comedy,Drama	Dear,Diary,Caro,Diario,1994
584	Drama	I,Don't,Want,to,Talk,About,It,De,eso,no,se,habla,1993
585	Comedy	Brady,Bunch,Movie,The,1995
586	Children's,Comedy	Home,Alone,1990
587	Comedy,Romance,Thriller	Ghost,1990
588	Animation,Children's,Comedy,Musical	Aladdin,1992
589	Action,Sci-Fi,Thriller	Terminator,2:,Judgment,Day,1991
590	Adventure,Drama,Western	Dances,with,Wolves,1990
591	Action,Drama,Thriller	Tough,and,Deadly,1995
592	Action,Adventure,Crime,Drama	Batman,1989
593	Drama,Thriller	Silence,of,the,Lambs,The,1991
594	Animation,Children's,Musical	Snow,White,and,the,Seven,Dwarfs,1937
595	Animation,Children's,Musical	Beauty,and,the,Beast,1991
596	Animation,Children's	Pinocchio,1940
597	Comedy,Romance	Pretty,Woman,1990
598	Comedy	Window,to,Paris,1994
599	Western	Wild,Bunch,The,1969
600	Thriller	Love,and,a,.45,1994
601	Drama	Wooden,Man's,Bride,The,Wu,Kui,1994
602	Documentary	Great,Day,in,Harlem,A,1994
603	Comedy	Bye,Bye,Love,1995
604	Documentary	Criminals,1996
605	Drama,Romance	One,Fine,Day,1996
606	Horror	Candyman:,Farewell,to,the,Flesh,1995
607	Drama	Century,1993
